Name,Description,Cost,Images
Gold Kundan Blue Bead Earring Necklace Set,This statement kundan and blue bead set is what dream treasure troves are made of. Features a double blue bead string necklace with kundan drops and matching earring,1750,https://img.faballey.com/images/Product/ZNS00041/d3.jpg;https://img.faballey.com/images/Product/ZNS00041/d4.jpg;https://img.faballey.com/images/Product/ZNS00041/d5.jpg;https://img.faballey.com/images/Product/ZNS00041/d6.jpg;
Gold Kundan Tukdi Earring Necklace Set,Old world charm meets modern elegance with this set. Features a gold plated white kundan set with crescent motifs and white enamel detailing; topped with white drop pearls.,2500,https://img.faballey.com/images/Product/ZNS00007/d3.jpg;https://img.faballey.com/images/Product/ZNS00007/d4.jpg;https://img.faballey.com/images/Product/ZNS00007/d5.jpg;https://img.faballey.com/images/Product/ZNS00007/d6.jpg;
Gold Kundan Pear Dainty Drop Earrings Necklace Set,For all those who shy away from statement pieces; this set is the perfect pick. Features a necklace crafted out of oval shaped kundan stones and pearl cluster drops along with earrings.,1750,https://img.faballey.com/images/Product/ZNS00046/d3.jpg;https://img.faballey.com/images/Product/ZNS00046/d4.jpg;https://img.faballey.com/images/Product/ZNS00046/d5.jpg;https://img.faballey.com/images/Product/ZNS00046/d6.jpg;
Gold Red Kundan Bead Earring Necklace Set,If you love kundan but want to keep it simple and classy this set should be your pick! Features a gold plated white kundan necklace with a single red drop bead along with dangler earrings,1600,https://img.faballey.com/images/Product/ZNS00003/d3.jpg;https://img.faballey.com/images/Product/ZNS00003/d4.jpg;https://img.faballey.com/images/Product/ZNS00003/d5.jpg;https://img.faballey.com/images/Product/ZNS00003/d6.jpg;
Gold Kundan Mangtika Earring Necklace Set,Take your festive wardrobe up a notch with this ethereal kundan set. Features a gold plated white kundan set that comes with pearl drop kundan earrings and a mangtikka.,3500,https://img.faballey.com/images/Product/ZNS00002/d3.jpg;https://img.faballey.com/images/Product/ZNS00002/d4.jpg;https://img.faballey.com/images/Product/ZNS00002/d5.jpg;https://img.faballey.com/images/Product/ZNS00002/d6.jpg;https://img.faballey.com/images/Product/ZNS00002/d7.jpg;
Gold Round Kundan Pearl Earring Necklace Set,Amp up your festive season glam with this delectable kundan set. Featuring a string of kundan along with pearl drops running along the length of the necklace with pearl and kundan stud earrings,1750,https://img.faballey.com/images/Product/ZNS00035/d3.jpg;https://img.faballey.com/images/Product/ZNS00035/d4.jpg;https://img.faballey.com/images/Product/ZNS00035/d5.jpg;https://img.faballey.com/images/Product/ZNS00035/d6.jpg;
White Blue Diamond Earring Pendant Necklace Set,Elevate your cocktail look with a glamourous dose of bling with this white and blue diamond set. Features a white diamond necklace with a statement blue focal stone.,2625,https://img.faballey.com/images/Product/ZNS00011/d3.jpg;https://img.faballey.com/images/Product/ZNS00011/d4.jpg;https://img.faballey.com/images/Product/ZNS00011/d5.jpg;https://img.faballey.com/images/Product/ZNS00011/d6.jpg;
Gold Kundan Green Bead String Earring Necklace Set,Classic and timeless; this kundan and green bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green beads.,2000,https://img.faballey.com/images/Product/ZNS00049/d3.jpg;https://img.faballey.com/images/Product/ZNS00049/d4.jpg;https://img.faballey.com/images/Product/ZNS00049/d5.jpg;https://img.faballey.com/images/Product/ZNS00049/d6.jpg;
Gold Kundan Multicolor Stone Earring Necklace Set,Classic and timeless; this kundan and multicolor bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green and red beads.,2000,https://img.faballey.com/images/Product/ZNS00053/d3.jpg;https://img.faballey.com/images/Product/ZNS00053/d4.jpg;https://img.faballey.com/images/Product/ZNS00053/d5.jpg;https://img.faballey.com/images/Product/ZNS00053/d6.jpg;
Gold Maroon Kundan Floral Necklace Set,Pepper your festive look with the grandeur of this imposing gold-plated maroon kundan necklace set. It features alternating floral and square shaped kundan pieces on a single layer choker necklace along with complementing earrings.,2250,https://img.faballey.com/images/Product/ZNS00058/d3.jpg;https://img.faballey.com/images/Product/ZNS00058/d4.jpg;https://img.faballey.com/images/Product/ZNS00058/d5.jpg;https://img.faballey.com/images/Product/ZNS00058/d6.jpg;
